date,open_USD,high_USD,low_USD,close_USD,volume
30-01-2021,34246.28,34933,32825,34218.54,43072
29-01-2021,33368.18,38531.9,31915.4,34252.2,231827
28-01-2021,30362.19,33783.98,29842.1,33364.86,92621
27-01-2021,32464.01,32557.29,29241.72,30366.15,95911
26-01-2021,32254.19,32921.88,30837.37,32467.77,84972
25-01-2021,32259.45,34875,31910,32254.2,88499
24-01-2021,32078,33071,30900,32259.9,57978
23-01-2021,32950,33456,31390.16,32078,64595
22-01-2021,30851.99,33826.53,28850,32945.17,142971
21-01-2021,35468.23,35600,30071,30850.13,131803
20-01-2021,35901.94,36415.31,33400,35468.23,89368
19-01-2021,36622.46,37850,35844.06,35891.49,79611
18-01-2021,35824.99,37469.83,34800,36631.27,70698
17-01-2021,35994.98,36852.5,33850,35828.61,80157
16-01-2021,36737.43,37950,35357.8,35994.98,86348
15-01-2021,39145.21,39747.76,34408,36742.22,118300
14-01-2021,37371.38,40100,36701.23,39144.5,102950
13-01-2021,34049.15,37850,32380,37371.38,124477
12-01-2021,35410.37,36628,32531,34051.24,133948
11-01-2021,38150.02,38264.74,30420,35404.47,249131
10-01-2021,40088.22,41350,35111.11,38150.02,118209
09-01-2021,40586.96,41380,38720,40088.22,75785
08-01-2021,39432.48,41950,36500,40582.81,139789
07-01-2021,36769.36,40365,36300,39432.28,132825
06-01-2021,33949.53,36939.21,33288,36769.36,127139
05-01-2021,31989.75,34360,29900,33949.53,116049
04-01-2021,33000.05,33600,28130,31988.71,140899
03-01-2021,32176.45,34778.11,31962.99,33000.05,120957
02-01-2021,29331.7,33300,28946.53,32178.33,129993
01-01-2021,28923.63,29600,28624.57,29331.69,54182
31-12-2020,28875.55,29300,27850,28923.63,75508
30-12-2020,27385,28996,27320,28875.54,95356
29-12-2020,27079.42,27410,25880,27385,69411
28-12-2020,26281.54,27500,26101,27079.41,79721
27-12-2020,26493.4,28422,25700,26281.66,148455
26-12-2020,24712.47,26867.03,24500,26493.39,97806
25-12-2020,23728.99,24789.86,23433.6,24712.47,79519
24-12-2020,23232.39,23794.43,22703.42,23729.2,69013
23-12-2020,23810.79,24100,22600,23232.76,119047
22-12-2020,22719.88,23837.1,22353.4,23810.79,87033
21-12-2020,23455.54,24102.77,21815,22719.71,88030
20-12-2020,23821.6,24295,23060,23455.52,76690
19-12-2020,23107.39,24171.47,22750,23821.61,86045
18-12-2020,22797.15,23285.18,22350,23107.39,79646
